image,class
WA01_2015_10_1_15_46_38_68438_id1.bmp,8
WA01_2015_10_1_15_46_38_68438_id2.bmp,8
WA01_2015_10_1_15_46_38_68438_id3.bmp,8
WA01_2015_10_1_15_46_38_68438_id4.bmp,8
WA01_2015_10_1_15_46_38_68438_id5.bmp,8
WA01_2015_10_1_15_46_38_68438_id6.bmp,8
WA01_2015_10_1_15_46_38_68438_id7.bmp,8
WA01_2015_10_1_15_46_38_68438_id8.bmp,8
WA01_2015_10_1_15_46_38_68438_id9.bmp,8
WA01_2015_10_1_15_46_59_829744_id1.bmp,8
WA01_2015_10_1_15_47_22_200392_id1.bmp,8
WA01_2015_10_1_15_47_22_200392_id10.bmp,8
WA01_2015_10_1_15_47_22_200392_id2.bmp,8
WA01_2015_10_1_15_47_22_200392_id3.bmp,8
WA01_2015_10_1_15_47_55_139754_id10.bmp,8
WA01_2015_10_1_15_47_55_139754_id4.bmp,8
WA01_2015_10_1_15_47_55_139754_id5.bmp,8
WA01_2015_10_1_15_47_55_139754_id7.bmp,8
WA01_2015_10_1_15_47_55_139754_id8.bmp,8
WA01_2015_10_1_15_47_55_139754_id9.bmp,8
WA01_2015_10_1_16_52_38_933973_id10.bmp,8
WA01_2015_10_1_16_52_38_933973_id7.bmp,8
WA01_2015_10_1_16_52_52_485419_id1.bmp,8
WA01_2015_10_1_16_52_52_485419_id2.bmp,8
WA01_2015_10_1_16_5_22_436972_id4.bmp,8
WA01_2015_10_1_23_31_12_814345_id10.bmp,8
WA01_2015_10_1_23_31_12_814345_id11.bmp,8
WA01_2015_10_1_23_31_12_814345_id2.bmp,8
WA01_2015_10_1_23_31_12_814345_id4.bmp,8
WA01_2015_10_1_23_31_12_814345_id5.bmp,8
WA01_2015_10_1_23_31_12_814345_id7.bmp,8
WA01_2015_10_1_23_31_12_814345_id8.bmp,8
WA01_2015_10_1_23_31_12_814345_id9.bmp,8
WA01_2015_10_1_23_31_29_732493_id1.bmp,8
WA01_2015_10_1_23_31_29_732493_id10.bmp,8
WA01_2015_10_1_23_31_29_732493_id11.bmp,8
WA01_2015_10_1_23_31_29_732493_id3.bmp,8
WA01_2015_10_1_23_31_29_732493_id5.bmp,8
WA01_2015_10_1_23_31_29_732493_id8.bmp,8
WA01_2015_10_1_23_31_29_732493_id9.bmp,8
WA01_2015_10_1_23_33_34_930149_id5.bmp,8
WA01_2015_10_1_23_33_34_930149_id6.bmp,8
WA01_2015_10_2_16_50_22_474513_id5.bmp,8
WA01_2015_10_2_16_50_37_90144_id3.bmp,8
WA01_2015_10_2_16_50_37_90144_id4.bmp,8
WA01_2015_10_2_16_50_37_90144_id7.bmp,8
WA01_2015_10_2_16_50_6_746321_id1.bmp,8
WA01_2015_10_2_16_50_6_746321_id4.bmp,8
WA01_2015_10_2_16_52_58_763393_id3.bmp,8
WA01_2015_10_2_7_35_31_312622_id3.bmp,8
WA01_2015_10_2_7_35_31_312622_id4.bmp,8
WA01_2015_10_2_7_36_23_306751_id10.bmp,8
WA01_2015_10_2_7_36_23_306751_id11.bmp,8
WA01_2015_10_2_8_10_26_64630_id10.bmp,8
WA01_2015_10_2_8_10_26_64630_id5.bmp,8
WA01_2015_10_2_8_10_26_64630_id9.bmp,8
WA01_2015_10_2_8_10_7_110762_id7.bmp,8
WA01_2015_10_2_9_23_24_840061_id1.bmp,8
WA01_2015_10_2_9_23_24_840061_id5.bmp,8
WA01_2015_10_2_9_23_24_840061_id6.bmp,8
WA01_2015_10_2_9_23_24_840061_id7.bmp,8
WA01_2015_10_2_9_23_24_840061_id9.bmp,8
WA01_2015_10_2_9_23_6_851037_id11.bmp,8
WA01_2015_10_2_9_23_6_851037_id6.bmp,8
WA01_2015_10_2_9_23_6_851037_id7.bmp,8
WA01_2015_10_3_10_15_51_503401_id10.bmp,8
WA01_2015_10_3_10_15_51_503401_id3.bmp,8
WA01_2015_10_3_10_15_51_503401_id7.bmp,8
WA01_2015_10_3_7_40_23_193066_id9.bmp,8
WA01_2015_10_3_7_40_41_990376_id1.bmp,8
WA01_2015_10_3_7_40_41_990376_id3.bmp,8
WA01_2015_10_3_7_40_41_990376_id4.bmp,8
WA01_2015_10_3_7_40_6_149162_id3.bmp,8
WA01_2015_10_3_7_40_6_149162_id4.bmp,8
